LTV,Crash%,InitialHealth,IsUnderwater,PhantomHours,PhantomRefreshes
0.3333,20,1.1,True,11,11
0.3333,20,1.3,False,0,0
0.3333,20,1.5,False,0,0
0.3333,20,2.0,False,0,0
0.3333,30,1.1,True,7,7
0.3333,30,1.3,True,25,25
0.3333,30,1.5,False,0,0
0.3333,30,2.0,False,0,0
0.3333,40,1.1,True,5,5
0.3333,40,1.3,True,14,14
0.3333,40,1.5,True,29,29
0.3333,40,2.0,False,0,0
0.3333,50,1.1,True,4,4
0.3333,50,1.3,True,10,10
0.3333,50,1.5,True,17,17
0.3333,50,2.0,False,0,0
0.3333,70,1.1,True,3,3
0.3333,70,1.3,True,6,6
0.3333,70,1.5,True,9,9
0.3333,70,2.0,True,16,16
0.5000,20,1.1,True,11,11
0.5000,20,1.3,False,0,0
0.5000,20,1.5,False,0,0
0.5000,20,2.0,False,0,0
0.5000,30,1.1,True,7,7
0.5000,30,1.3,True,25,25
0.5000,30,1.5,False,0,0
0.5000,30,2.0,False,0,0
0.5000,40,1.1,True,5,5
0.5000,40,1.3,True,14,14
0.5000,40,1.5,True,29,29
0.5000,40,2.0,False,0,0
0.5000,50,1.1,True,4,4
0.5000,50,1.3,True,10,10
0.5000,50,1.5,True,17,17
0.5000,50,2.0,False,0,0
0.5000,70,1.1,True,3,3
0.5000,70,1.3,True,6,6
0.5000,70,1.5,True,9,9
0.5000,70,2.0,True,16,16
0.6667,20,1.1,True,11,11
0.6667,20,1.3,False,0,0
0.6667,20,1.5,False,0,0
0.6667,20,2.0,False,0,0
0.6667,30,1.1,True,7,7
0.6667,30,1.3,True,25,25
0.6667,30,1.5,False,0,0
0.6667,30,2.0,False,0,0
0.6667,40,1.1,True,5,5
0.6667,40,1.3,True,14,14
0.6667,40,1.5,True,29,29
0.6667,40,2.0,False,0,0
0.6667,50,1.1,True,4,4
0.6667,50,1.3,True,10,10
0.6667,50,1.5,True,17,17
0.6667,50,2.0,False,0,0
0.6667,70,1.1,True,3,3
0.6667,70,1.3,True,6,6
0.6667,70,1.5,True,9,9
0.6667,70,2.0,True,16,16
0.7500,20,1.1,True,11,11
0.7500,20,1.3,False,0,0
0.7500,20,1.5,False,0,0
0.7500,20,2.0,False,0,0
0.7500,30,1.1,True,7,7
0.7500,30,1.3,True,25,25
0.7500,30,1.5,False,0,0
0.7500,30,2.0,False,0,0
0.7500,40,1.1,True,5,5
0.7500,40,1.3,True,14,14
0.7500,40,1.5,True,29,29
0.7500,40,2.0,False,0,0
0.7500,50,1.1,True,4,4
0.7500,50,1.3,True,10,10
0.7500,50,1.5,True,17,17
0.7500,50,2.0,False,0,0
0.7500,70,1.1,True,3,3
0.7500,70,1.3,True,6,6
0.7500,70,1.5,True,9,9
0.7500,70,2.0,True,16,16
